reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGkq58m9edmV6eU_r4f_IASsH-fvHh4Tgh-b_kts60402dPQ_p0h4Rl6bxAEJek3d68mpm1g6zxw1-vsA,Rayleen Badenhorst,https://play-lh.googleusercontent.com/a-/AOh14GjqP29kE0Fek5dTBQJIwPpZADZ45TGGnpSGVoK_eg,Love the app. I would love to see more Afrikaans voice versions in the future. This will make my trips feel right at home 💜,4,0,,2021-08-23 05:59:39,,
gp:AOqpTOHVv5IsfUryCW9AukHwrSUEgDaEnOe47hX3U3u6_sU0cEvjGE7q4YO4iWD0HdIC0yMu0EWI-LQhkha2ew,Jordynn Hahn,https://play-lh.googleusercontent.com/a-/AOh14Gia7zwiZfj7EbHcqnR6gdKIx5YD39C7N4u2scN2hg,why cant i connect with Facebook with my account? bums me TF out! 😭,5,0,4.73.0.3,2021-04-12 09:45:23,,
gp:AOqpTOG9Bn165XzkgPZt92Lz16CpPdOk6ppYgOP70uGa6_MvIvXUHeay0JSWri5gnYQsAddfYgxovBT3NpOudg,Muhammad Zubair,https://play-lh.googleusercontent.com/a/AATXAJyI7a50EPXvBxh7oVyVVtNzs24CsPC6mQHgVmdA=mo,I got issue . For last few days its not connected to GPS . I tried all methods but failed. I got google navigation its connected with GPS and working fine.,3,0,4.62.1.0,2021-07-28 04:02:52,"Hey! If you're having trouble with your GPS, we'd love to help you fix that. Take a look at this guide for more details on resolving this problem: https://support.google.com/waze/answer/9909051?hl=en Let us know how that goes.

For further assistance please contact us here: https://m.me/waze",2021-07-28 18:16:37
gp:AOqpTOGDeKMeK1k53k0-3rK2neXMcraBnXWxhw6KmylmZo0QPfEVB0JJZDud-j-dWnnIsVES5akki6n123M-ig,Alex Yiannakou,https://play-lh.googleusercontent.com/a-/AOh14Gh-HgB6zJgWzTaILMpKpSTMkNYXEnUS6u0B8Otokg,"Used to be the best GPS app but now I constantly get ""error calculating route"". I then try the exact same journey in another GPS app and it works fine.",1,1,4.60.0.5,2021-06-29 14:30:45,"Hey, Alex! If you're having trouble with your GPS, we'd love to help you fix that. Take a look at this guide for more details on resolving this problem: https://support.google.com/waze/answer/9909051?hl=en Let us know how that goes.

For further assistance please contact us here: https://m.me/waze",2021-06-30 19:54:17
gp:AOqpTOEoTl2EuAtp-QetN9EANtQJcFy9S_Yixt5VzZurd-DIjQVxFBFFRDOmZkccgmLwcbiMhbxEXJKVhUjGjw,Chris,https://play-lh.googleusercontent.com/a/AATXAJwtvyVsizw5GP-oFCT9xm2rEUBufrIwRdzoSJsz=mo,Great like that it works like a community where people can put things that are happening in real time,5,0,4.74.0.3,2021-05-31 20:09:20,,
gp:AOqpTOFdtiD6DlCW02ae9A7AqjWQI2xGLmOg3Rl9ziJ3F5m8qbsG7dza--xlVrMls2UbPpja-rRz9fixPRRZBA,Mylene W,https://play-lh.googleusercontent.com/a-/AOh14GhWkR4fKmapMBJxvUYD-XUiCv1zVBMbK67OH8KI3g,Has been very helpful with knowing what's ahead 🙂,5,0,4.74.0.3,2021-06-02 18:06:56,,
gp:AOqpTOHT6mqkyyeborFNQ9Or-En0OxJatVJf2vMS9qYuXXnASVMcsruu3uRPwHaZc8VXAkCrSiYhyeqobC8oew,Bill Campbell,https://play-lh.googleusercontent.com/a-/AOh14Ghz81E3AqGprZwO5sled7zK4HdFh5XVqQoZXFjXkw,Was a GREAT app; but it's been buggy for about a week. Hopefully it'll get fixed soon.,1,0,4.64.1.0,2021-08-21 21:33:10,"Hey there, Bill! We're sorry to hear that this issue is occurring. We'd like to learn more about what you're experiencing, would you mind sending us a private message on Facebook?

For further assistance please contact us here: https://m.me/waze",2021-08-23 19:11:39
gp:AOqpTOGGoe3w8EyQVoeJNimPanxjvBueV6iqYL5QSp8fej_nByJIX1SWv_zWRF7LuN1qjpAMa_r9-LlIigrLBg,Ian A,https://play-lh.googleusercontent.com/a-/AOh14GjZzSZ2GcIoczXnTl5lcoQN3vVFuMih57kjve7fSZY,"Decent navigation app, but the fact that it constantly nags you to interact with it while you're driving, with no upfront or easy way to activate a hands free interaction method, is enough to diminish any good rating. Hands free should've been automatically activated. The irony of the fact that you have to hands-on interact with the app in order for its roadside safety features to function is actually kind of hilarious.",2,0,,2021-06-16 15:25:08,,
gp:AOqpTOGWg9Fo9YoBZ55_BYLC5RH5m447Qh1gBHY5cRL3KQ0_ihOn-DyLXbFlPdICzJbsIt-L9pK1Qxg90Lf7-A,Jimmy Oglesby,https://play-lh.googleusercontent.com/a-/AOh14GjY0QT8OKg5q7uCvAMIKKArApMi_yEKZzydVfCUcAM,Navigation can take you weird unnecessary routes and app has annoying ads. Was looking for a good replacement for Google Maps but this isn't it.,2,0,,2021-09-09 14:53:04,"Thanks for leaving your feedback, Jimmy! We're sorry to hear you're having issues with routing, we're happy to help you with that. Would you mind submitting more information about this occurrence here: https://support.google.com/waze/answer/6270994?hl=en

For further assistance please contact us here: https://m.me/waze
",2021-09-09 20:31:13
gp:AOqpTOEoUisoONaiYNrKF_UV4LV9IbFY_V05sebwjLWKEAoxAgCvJVJgbNt1G0GQvzTGJ1XbglJon1h8QIG9Uw,John Cooper,https://play-lh.googleusercontent.com/a/AATXAJwDv9Vri9BReTXDnKY-6AcK_ciryNid7ZFad6FI=mo,Great tool for trips!!!,5,1,4.75.0.3,2021-06-30 21:06:15,,
gp:AOqpTOEDll4ND7agd5Bx5x2SS-LYpQG8SgWvP3sfktZIIhPhPoAJSmtgHxXIan5_tO5XXlr9KQ0KM6mztA_A3w,Zamri Anuar Zainol Abidin,https://play-lh.googleusercontent.com/a/AATXAJyS3c3CXLq2WJRosBeDv_0TegXQeLgOiJkzM5Ox=mo,Fail in realtime maps.,1,0,4.73.0.3,2021-05-17 03:33:12,,
gp:AOqpTOEJDEuiJC5fbWktEU13skV0zzoiad7z9o6XCHOJZprzvPQiKcpPgqS_LBuSk9hxNAhI4ug52uizTg20SQ,Ann Franchi,https://play-lh.googleusercontent.com/a-/AOh14GjtASJlHGxSs9e1m1fzreA-f1oezcaubjHyxh_r,"With its emphasis on carpooling and work location, this app is geared more toward the daily commuter. For the retiree and casual traveler, though, the only function I have found to be of any use is the speed limit - when it's right. Oh, and forget filing a report if you're a passenger - to WAZE, you don't exist!!",2,0,,2021-04-21 16:22:42,"Hi Ann, thank you for taking the time to provide your review. We're always looking to improve your experience with Waze. We appreciate your feedback. For further assistance please contact us here: https://m.me/waze",2021-04-23 19:36:38
gp:AOqpTOGM74bHwqR8SqQSP9f2JysByr_zajvhRw4qG1EntTI8Dh7Z3koaFUKzl38GzvIQ-2k0-c3O9lujss2Ghw,Jestin Millians,https://play-lh.googleusercontent.com/a-/AOh14GhYKA7wXinVXucz1l-1You0-hX7r2ZUe3t90TkuRQ,Keeps me up-to-date with real time traffic and hazards on the highway,5,14,4.73.0.3,2021-04-15 10:35:58,,
gp:AOqpTOG_z66z7gPLvDWqm5AEYnCsxjnnw9z-e_ds68gITs6_aRn46Fdoyu3G1CISc8fM9wAeYBN3eNSq3gyZbw,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,The rerouting is a great option..but it should let you update what's going on..it kept popping up. It wouldn't let me to say the traffic jam (accident) was clear..i think..there should be extra options for upper level members. Gas options are great. I think ..it should be for the whole route or the option in settings to adjust for 0 to 700 miles. The reason i travel a lot need options without keep looking on phone screen.,5,0,,2021-06-20 16:37:12,,
gp:AOqpTOFwce6QMEgqfEJa7jIah-ludFr8GslYRrzlhmF0KAFbDLdJ4wSpIgmmmjNQDtaSTodVEYg5NrQZ5vr6yg,Soledad Loba,https://play-lh.googleusercontent.com/a-/AOh14GgQnehUBhIIL39Ytn7pKyl5XdQ5IOXfnArJQLhPRA,"A Phenomenal and Must-Have Tool for Realtors and Women. It works as a GPS giide and as a Safety measure whenever showing properties, meeting customers and letting others know where you are. I love it!.",5,0,4.42.0.5,2021-06-30 03:10:29,,
gp:AOqpTOEuxT-DWrhzjMkXf33IBgwB6WpZ67venpDAH2AwpaifMnMatMKwNINxxD8wQy0yXBejVPT6YpfCjhJQ4A,Muhammad Raffi,https://play-lh.googleusercontent.com/a-/AOh14GhS3rlP03nx_kaexMMbyVEi8wmxcIBBJXnUuaZUwQ,"waze is crazy, bring me to a dirt road, into a quiet and no one there..",1,0,4.73.0.3,2021-05-20 11:23:21,,
gp:AOqpTOEIHUmNULRvcQAnMyDTjGqhYufh9AjFp1J6BUKtumhc5iSUpNgUc89cUqVzAssiezC7NHCnHMVk7CG93A,Kathleen King,https://play-lh.googleusercontent.com/a/AATXAJytaLsyaF24U7LEhhyfdXh-UQvuemiIT8PXM_0z=mo,I've always used Waze but lately it says can't find GPS and all sorts of nonsense. Uninstalled it finally and using Google Maps now. Very disappointing it started doing that as it was great before.,1,1,,2021-08-16 18:48:37,"Hey! If you're having trouble with your GPS, we'd love to help you fix that. Take a look at this guide for more details on resolving this problem: https://support.google.com/waze/answer/9909051?hl=en Let us know how that goes.

For further assistance please contact us here: https://m.me/waze
",2021-08-17 18:35:36
gp:AOqpTOE6za1WdJY2THaU7I3Qw7FHzTj9mlMxzqV1hr1GaGuHdKlewAvhWeZnKBjJt0QsPwbrm5jJSCtYCxhpUA,YASUO SPIRIT,https://play-lh.googleusercontent.com/a-/AOh14GiBwj2VROjSDhiYBLCLG_Lwdsdp92IJEdF2yZAuMw,Its better 1000x than google maps Thank you for making this app,5,0,4.75.0.3,2021-07-08 11:09:33,,
gp:AOqpTOHpL4dyUDQ9vgf6znscegl-0Ezl9aeN0l1rME1Dne3wM_ym0ykNOnayf3XsciPnO93Hbs_GNdjBgQpZ2A,Khirol Ikwan,https://play-lh.googleusercontent.com/a/AATXAJzYueB3lQ_yTApV0JKPvpLWs9T7KoXLdFG1oIoJ=mo,Not function in main road,1,0,4.73.0.3,2021-05-16 01:56:08,,
gp:AOqpTOGlv8DPLCClEC3MNjEgBFM5w1Qatp3VJE4Odubc67Hv63khxG9BdNSi2vcdOj_A6thhhFR56fLIqOxgPQ,Francisco Ibarra. Jr,https://play-lh.googleusercontent.com/a-/AOh14GhuFYdw_kpMgcKI4MK1QwAQBMq2j3YsS6B3d1jLjQ,Awesome and easy to use,5,0,4.74.0.3,2021-06-01 20:46:41,,
gp:AOqpTOFl-YHdBxAethOTyibj4CuqR1xpvamNTVYTa15fQg5vK3Z62OqKKyaHNRRWUouN6U_6_VHc2RjvMubhMg,Staci Carleton,https://play-lh.googleusercontent.com/a-/AOh14GjCg2hd84dypNs0Xcu70btEwa075v5ZdhAWRFIuxK0,I was able to see clearly ahead on map.,5,0,4.74.0.3,2021-06-17 23:12:14,,
gp:AOqpTOHkSclDcY8YaMAzUuIjj5Giiysn8HiK-ZF1KkW_Y_gJxPtXp4ru7evGKRsv1cLSfcCzABtTOu91ymoAAw,S B,https://play-lh.googleusercontent.com/a-/AOh14GhLJufHCYpxM0J4ps2mQN6c3_fW--RFj4Zn2n7LYA,"For the 2nd most used GPS app, I feel it is still very amateurish. Really annoys me that when I turn my phone off after loading my pre planned drive location, the app restarts again. I created a profile and used it but now I can't login, always has error messages. None of the support team get back to me. Waste of time",1,0,4.61.0.3,2021-06-05 01:53:34,,
gp:AOqpTOEsu7E5kTLxOvbeP8ztwNHshuxwUxCvCk3a5kZ0FgKaoZHRfq26QaPTh8csyivF9tgCDms4LFiwzFaZAQ,Charity Hester,https://play-lh.googleusercontent.com/a/AATXAJzhRV-PwuDPi0BT7l5--pPkn_KdIzlV8-1iyy9C=mo,I absolutely love this app and use it all the time!,5,0,4.73.0.3,2021-05-28 13:03:43,,
gp:AOqpTOF-HgV8CyoJA1nO-Ko0-Log61LI2E4pB79zGLbIk_c5Kn4MpPdxhkh5x1s6Z9zG-XalFkPPZUGyrR4vSg,gachacupcac everyone,https://play-lh.googleusercontent.com/a-/AOh14GjGrylOXz0MI8EP78ylu8q5XDYasbCqLKr75Bo_Kw,It's good but still need to more improved,4,1,4.75.0.3,2021-07-06 08:37:14,,
